# dates,infections,hospitalizations,deaths,mean_r_t
2021-02-07,669562.8703338029,220257.0,2323.8144127189157,0.882767131604175
2021-02-08,652438.7187819765,216167.0,2298.8088404346486,0.8812265120189691
2021-02-09,635548.78665345,212058.0,2272.993870074715,0.8797233079803366
2021-02-10,618902.7527071586,207935.0,2246.4122542103637,0.8782576316421324
2021-02-11,602509.7132902674,203804.0,2219.107290719671,0.8768297787400052
2021-02-12,586377.6178342917,199668.0,2191.1227163574454,0.875439828954104
2021-02-13,570513.4055434644,195534.0,2162.502597255682,0.8740876880237902
2021-02-14,554923.2471964061,191406.0,2133.2906224457442,0.8727732246573795
2021-02-15,539612.5876811834,187288.0,2103.492802665352,0.8714962837035307
2021-02-16,524586.2500793876,183184.0,2073.15573873749,0.8702567658954432
2021-02-17,509848.3060003025,179100.0,2042.3258520072113,0.8690545493961055
2021-02-18,495402.06394261937,175038.0,2011.0492681701407,0.8678894614947876
2021-02-19,481250.13751338114,171004.0,1979.371702989133,0.8667612934750051
2021-02-20,467394.5128828146,166999.0,1947.338351213323,0.8656698218384994
2021-02-21,453836.6093159811,163029.0,1914.9937800189941,0.8646148329858109
2021-02-22,440577.2877453417,159096.0,1882.3818433849572,0.8635961211753732
2021-02-23,427616.85585246456,155203.0,1849.5455982704189,0.8626134792104831
2021-02-24,414955.09920145455,151353.0,1816.527225490895,0.8616666998025719
2021-02-25,402591.32214617234,147548.0,1783.3679573353725,0.8607555825359273
2021-02-26,390524.3913844982,143793.0,1750.1079992453044,0.8598799449880403
2021-02-27,378752.766951531,140087.0,1716.7864522246052,0.859039629333842
2021-02-28,367274.5255413372,136435.0,1683.4412657750536,0.8582345048685964
2021-03-01,356087.3863209137,132837.0,1650.1091948510448,0.8574644711961631
2021-03-02,345188.7406277332,129296.0,1616.8257588487147,0.8567294636740909
2021-03-03,334575.6836229198,125813.0,1583.6251999100848,0.8560294611260092
2021-03-04,324245.0435309897,122389.0,1550.5404301752467,0.8553644938544297
2021-03-05,314192.84718845494,119026.0,1517.6030105930142,0.8547331272312562
2021-03-06,304415.05670462,115725.0,1484.8431351837771,0.8541342290541756
2021-03-07,294907.8219581444,112486.0,1452.2896179545626,0.8535677579109863
2021-03-08,285667.0273514853,109311.0,1419.9698799142443,0.8530335702446261
2021-03-09,276688.2648544469,106200.0,1387.9099051171995,0.8525313245679903
2021-03-10,267966.8148321957,103153.0,1356.1342470443744,0.8520603903525574
2021-03-11,259497.8543097614,100171.0,1324.666037539384,0.85162014699813
2021-03-12,251276.5820399361,97254.0,1293.5269962151217,0.8512101958460135
2021-03-13,243298.1381671265,94403.0,1262.737437398493,0.8508302295583425
2021-03-14,235557.56134580696,91617.0,1232.3162747001484,0.8504799403394231
2021-03-15,228049.77566002714,88895.0,1202.2810370459435,0.8501589576481354
2021-03-16,220769.6398537446,86239.0,1172.647893227657,0.8498668770449092
2021-03-17,213712.0136212786,83647.0,1143.4316795326579,0.8496033410848595
2021-03-18,206871.76648848903,81120.0,1114.6459293685975,0.8493680462069908
